अँग	a mq g a
सामान्यतः	s a aa m a aa n a y a t a hq
सामुदायिक	s a aa m a u d a aa y a i k a
सामुहिक	s a aa m a u h a i k a
सामूगढ़	s a aa m a uu g a dxhq a
सामूहिक	s a aa m a uu h a i k a
साम्प्रदायिक	s a aa m a p a r a d a aa y a i k a
साम्राज्य	s a aa m a r a aa j a y a
साम्राज्यवादी	s a aa m a r a aa j a y a w a aa d a ii
सायरा	s a aa y a r a aa
साये	s a aa y a ee
सारथ्य	s a aa r a th a y a
सारल्य	s a aa r a l a y a
सारा	s a aa r a aa
साराभाई	s a aa r a aa bh a aa ii
सारिपुत्र	s a aa r a i p a u t a r a
सारी	s a aa r a ii
सारे	s a aa r a ee
सार्क	s a aa r a k a
सार्थक	s a aa r a th a k a
सार्वजनिक	s a aa r a w a j a n a i k a
सार्वभौमिक	s a aa r a w a bh a ou m a i k a
साल	s a aa l a
सालाना	s a aa l a aa n a aa
सालुंखे	s a aa l a u q kh a ee
साले	s a aa l a ee
सालों	s a aa l a o q
सावंत	s a aa w a q t a
सावधान	s a aa w a dh a aa n a
सावधानियाँ	s a aa w a dh a aa n a i y a aa mq
सावधानियां	s a aa w a dh a aa n a i y a aa q
सावधानी	s a aa w a dh a aa n a ii
सावित्री	s a aa w a i t a r a ii
साशीदार	s a aa sh a ii d a aa r a
सास	s a aa s a
सासभरी	s a aa s a bh a r a ii
साहब	s a aa h a b a
साहबनी	s a aa h a b a n a ii
साहस	s a aa h a s a
साहा	s a aa h a aa
साहितिक	s a aa h a i t a i k a
साहित्य	s a aa h a i t a y a
साहित्यशास्त्र	s a aa h a i t a y a sh a aa s a t a r a
साहित्यिक	s a aa h a i t a y a i k a
साहिब	s a aa h a i b a
साहिबा	s a aa h a i b a aa
साहिल	s a aa h a i l a
साहूकार	s a aa h a uu k a aa r a
साहेब	s a aa h a ee b a
सिंगापुर	s a i q g a aa p a u r a
सिंघवी	s a i q gh a w a ii
सिंध	s a i q dh a
सिंधु	s a i q dh a u
सिंधुकीर्ति	s a i q dh a u k a ii r a t a i
सिंह	s a i q h a
सिंहलगढ़	s a i q h a l a g a dxhq a
सिंहाचलम	s a i q h a aa c a l a m a
सिंहासन	s a i q h a aa s a n a
सिंहों	s a i q h a o q
सिऊ	s a i uu
सिकंदर	s a i k a q d a r a
सिकंदरिया	s a i k a q d a r a i y a aa
सिकनी	s a i k a n a ii
सिकुड	s a i k a u dx a
सिकुड़	s a i k a u dxq a
सिकोड़	s a i k a o dxq a
सिक्के	s a i k a k a ee
सिक्कों	s a i k a k a o q
सिक्योरिटी	s a i k a y a o r a i tx a ii
सिक्सटी	s a i k a s a tx a ii
सिखाने	s a i kh a aa n a ee
सिखापढ़ाकर	s a i kh a aa p a dxhq a aa k a r a
सिखाया	s a i kh a aa y a aa
सिखायी	s a i kh a aa y a ii
सिगरेट	s a i g a r a ee tx a
सिटी	s a i tx a ii
सिटीजन	s a i tx a ii j a n a
सितंबर	s a i t a q b a r a
सितम्बर	s a i t a m a b a r a
सितारा	s a i t a aa r a aa
सिद्ध	s a i d a dh a
सिद्धस्तता	s a i d a dh a s a t a t a aa
सिद्धांत	s a i d a dh a aa q t a
सिद्धांतों	s a i d a dh a aa q t a o q
सिद्धान्त	s a i d a dh a aa n a t a
सिद्धान्तों	s a i d a dh a aa n a t a o q
सिद्धार्थ	s a i d a dh a aa r a th a
सिद्धि	s a i d a dh a i
सिधिया	s a i dh a i y a aa
सिनेमा	s a i n a ee m a aa
सिनेमाघर	s a i n a ee m a aa gh a r a
सिन्धुवासियों	s a i n a dh a u w a aa s a i y a o q
सिन्हा	s a i n a h a aa
सिपाहियों	s a i p a aa h a i y a o q
सिपाही	s a i p a aa h a ii
सिपुर्द	s a i p a u r a d a
सिफारिशों	s a i ph a aa r a i sh a o q
सिब्बल	s a i b a b a l a
सिमेण्टिक	s a i m a ee nx a tx a i k a
सियर	s a i y a r a
सियार	s a i y a aa r a
सियाराम	s a i y a aa r a aa m a
सियासत	s a i y a aa s a t a
सियाही	s a i y a aa h a ii
सियॅटल	s a i y a tx a l a
सिर	s a i r a
सिरहाने	s a i r a h a aa n a ee
सिरिश	s a i r a i sh a
सिरीज	s a i r a ii j a
सिरे	s a i r a ee
सिरों	s a i r a o q
सिर्फ	s a i r a ph a
सिर्फ़	s a i r a f a
सिलसिला	s a i l a s a i l a aa
सिलसिले	s a i l a s a i l a ee
सिलसिलेवार	s a i l a s a i l a ee w a aa r a
सिलिकॉन	s a i l a i k a n a
सिलेंडर	s a i l a ee q dx a r a
सिल्ली	s a i l a l a ii
सिल्वर	s a i l a w a r a
सिल्वरस्टोन	s a i l a w a r a s a tx a o n a
सिवदीन	s a i w a d a ii n a
सिवा	s a i w a aa
सिवादीन	s a i w a aa d a ii n a
सिविल	s a i w a i l a
सिविलियन	s a i w a i l a i y a n a
सिसकती	s a i s a k a t a ii
सिसकारी	s a i s a k a aa r a ii
सिस्टम	s a i s a tx a m a
सिहर	s a i h a r a
सिहरन	s a i h a r a n a
सी	s a ii
सींचना	s a ii q c a n a aa
सींचने	s a ii q c a n a ee
सीआईए	s a ii aa ii ee
सीआर	s a ii aa r a
सीआऱपीएफ	s a ii aa p a ii ee ph a
सीख	s a ii kh a
सीखता	s a ii kh a t a aa
सीखते	s a ii kh a t a ee
सीखने	s a ii kh a n a ee
सीखा	s a ii kh a aa
सीखीं	s a ii kh a ii q
सीखे	s a ii kh a ee
सीखें	s a ii kh a ee q
सीखेगी	s a ii kh a ee g a ii
सीजन	s a ii j a n a
सीजीआई	s a ii j a ii aa ii
सीट	s a ii tx a
सीटी	s a ii tx a ii
सीटें	s a ii tx a ee q
सीटों	s a ii tx a o q
सीढ़ियाँ	s a ii dxhq a i y a aa mq
सीढ़ियों	s a ii dxhq a i y a o q
सीढ़ी	s a ii dxhq a ii
सीता	s a ii t a aa
सीतापुर	s a ii t a aa p a u r a
सीतामढ़ी	s a ii t a aa m a dxhq a ii
सीताराम	s a ii t a aa r a aa m a
सीधा	s a ii dh a aa
सीधी	s a ii dh a ii
सीधे	s a ii dh a ee
सीधेसीधे	s a ii dh a ee s a ii dh a ee
सीना	s a ii n a aa
सीनियर	s a ii n a i y a r a
सीने	s a ii n a ee
सीपी	s a ii p a ii
सीपीआई	s a ii p a ii aa ii
सीबीआई	s a ii b a ii aa ii
सीबीडीटी	s a ii b a ii dx a ii tx a ii
सीमत	s a ii m a t a
सीमा	s a ii m a aa
सीमांत	s a ii m a aa q t a
सीमाएं	s a ii m a aa ee q
सीमाओं	s a ii m a aa o q
सीमानिर्धारण	s a ii m a aa n a i r a dh a aa r a nx a
सीमित	s a ii m a i t a
सीमेंट	s a ii m a ee q tx a
सीरिज	s a ii r a i j a
सीरियल	s a ii r a i y a l a
सीरियल्स	s a ii r a i y a l a s a
सीरिया	s a ii r a i y a aa
सीरीज	s a ii r a ii j a
सीसी	s a ii s a ii
सुंगधि	s a u q g a dh a i
सुंदर	s a u q d a r a
सुंदरता	s a u q d a r a t a aa
सुंद्रा	s a u q d a r a aa
सुइसाइड	s a u i s a aa i dx a
सुई	s a u ii
सुकरात	s a u k a r a aa t a
सुकून	s a u k a uu n a
सुकेश	s a u k a ee sh a
सुकोमल	s a u k a o m a l a
सुख	s a u kh a
सुखद	s a u kh a d a
सुखदायी	s a u kh a d a aa y a ii
सुखदुःख	s a u kh a d a u hq kh a
सुखदुःखादि	s a u kh a d a u hq kh a aa d a i
सुखदुःखों	s a u kh a d a u hq kh a o q
सुखदुख	s a u kh a d a u kh a
सुखदेवनगर	s a u kh a d a ee w a n a g a r a
सुखराम	s a u kh a r a aa m a
सुखशांति	s a u kh a sh a aa q t a i
सुखाकर	s a u kh a aa k a r a
सुखी	s a u kh a ii
सुखों	s a u kh a o q
सुगंधित	s a u g a q dh a i t a
सुगठन	s a u g a txh a n a
सुगठित	s a u g a txh a i t a
सुगन्धा	s a u g a n a dh a aa
सुग्रीव	s a u g a r a ii w a
सुघडता	s a u gh a dx a t a aa
सुघढ	s a u gh a dxh a
सुचारू	s a u c a aa r a uu
सुजय	s a u j a y a
सुजी	s a u j a ii
सुजुकी	s a u j a u k a ii
सुझाया	s a u jh a aa y a aa
सुझाव	s a u jh a aa w a
सुडौल	s a u dx a ou l a
सुत	s a u t a
सुथरा	s a u th a r a aa
सुदंरी	s a u d a q r a ii
सुदूरवर्ती	s a u d a uu r a w a r a t a ii
सुदृढ़	s a u d a rq dxhq a
सुदेश	s a u d a ee sh a
सुधरेगी	s a u dh a r a ee g a ii
सुधा	s a u dh a aa
सुधांशु	s a u dh a aa q sh a u
सुधार	s a u dh a aa r a
सुधारने	s a u dh a aa r a n a ee
सुधीर	s a u dh a ii r a
सुन	s a u n a
सुनंदा	s a u n a q d a aa
सुनकर	s a u n a k a r a
सुनता	s a u n a t a aa
सुनती	s a u n a t a ii
सुनते	s a u n a t a ee
सुनना	s a u n a n a aa
सुननासहना	s a u n a n a aa s a h a n a aa
सुनने	s a u n a n a ee
सुनवाई	s a u n a w a aa ii
सुनवाने	s a u n a w a aa n a ee
सुनसान	s a u n a s a aa n a
सुनहरे	s a u n a h a r a ee
सुना	s a u n a aa
सुनाई	s a u n a aa ii
सुनाएंगे	s a u n a aa ee q g a ee
सुनाते	s a u n a aa t a ee
सुनाने	s a u n a aa n a ee
सुनाया	s a u n a aa y a aa
सुनायी	s a u n a aa y a ii
सुनिए	s a u n a i ee
सुनिश्चित	s a u n a i sh a c a i t a
सुनी	s a u n a ii
सुनीता	s a u n a ii t a aa
सुनीति	s a u n a ii t a i
सुने	s a u n a ee
सुनें	s a u n a ee q
सुनेंगे	s a u n a ee q g a ee
सुनैना	s a u n a ei n a aa
सुनो	s a u n a o
सुन्दर	s a u n a d a r a
सुन्दरता	s a u n a d a r a t a aa
सुन्दरा	s a u n a d a r a aa
सुन्न	s a u n a n a
सुन्ना	s a u n a n a aa
सुपरफास्ट	s a u p a r a ph a aa s a tx a
सुपरिटेंडेंट	s a u p a r a i tx a ee q dx a ee q tx a
सुपारी	s a u p a aa r a ii
सुप्रसिद्ध	s a u p a r a s a i d a dh a
सुप्रीम	s a u p a r a ii m a
सुप्रीमो	s a u p a r a ii m a o
सुबह	s a u b a h a
सुबहशाम	s a u b a h a sh a aa m a
सुबहसवेरे	s a u b a h a s a w a ee r a ee
सुब्र	s a u b a r a
सुभाष	s a u bh a aa sx a
सुमति	s a u m a t a i
सुमन	s a u m a n a
सुमित	s a u m a i t a
सुमित्रानंदन	s a u m a i t a r a aa n a q d a n a
सुयोग	s a u y a o g a
सुर	s a u r a
सुरक्षा	s a u r a k a sx a aa
सुरक्षित	s a u r a k a sx a i t a
सुरश्रेष्ठ	s a u r a sh a r a ee sx a txh a
सुराख़ों	s a u r a aa khq a o q
सुराग़	s a u r a aa gq a
सुराही	s a u r a aa h a ii
सुरिया	s a u r a i y a aa
सुरीले	s a u r a ii l a ee
सुरूचिपूर्ण	s a u r a uu c a i p a uu r a nx a
सुरेश	s a u r a ee sh a
सुरों	s a u r a o q
सुलकसाए	s a u l a k a s a aa ee
सुलगता	s a u l a g a t a aa
सुलगा	s a u l a g a aa
सुलगाई	s a u l a g a aa ii
सुलगाते	s a u l a g a aa t a ee
सुलतान	s a u l a t a aa n a
सुलभ	s a u l a bh a
सुलभा	s a u l a bh a aa
सुलाकर	s a u l a aa k a r a
सुलेखा	s a u l a ee kh a aa
सुल्तान	s a u l a t a aa n a
सुविधा	s a u w a i dh a aa
सुविधाएँ	s a u w a i dh a aa ee mq
सुविधाएं	s a u w a i dh a aa ee q
सुविधाओं	s a u w a i dh a aa o q
सुशीला	s a u sh a ii l a aa
सुश्रुषा	s a u sh a r a u sx a aa
सुषमा	s a u sx a m a aa
सुषुप्ति	s a u sx a u p a t a i
सुसंस्कृतता	s a u s a q s a k a rq t a t a aa
सुसज्जित	s a u s a j a j a i t a
सुस्ताने	s a u s a t a aa n a ee
सुहाग	s a u h a aa g a
सुहृद	s a u h a rq d a
सूंघा	s a uu q gh a aa
सूक्ष्म	s a uu k a sx a m a
सूख	s a uu kh a
सूखकर	s a uu kh a k a r a
सूखते	s a uu kh a t a ee
सूखने	s a uu kh a n a ee
सूखा	s a uu kh a aa
सूखाग्रस्त	s a uu kh a aa g a r a s a t a
सूखी	s a uu kh a ii
सूखे	s a uu kh a ee
सूचक	s a uu c a k a
सूचकांक	s a uu c a k a aa q k a
सूचना	s a uu c a n a aa
सूचनाएँ	s a uu c a n a aa ee mq
सूचनाएं	s a uu c a n a aa ee q
सूचनाओं	s a uu c a n a aa o q
सूचित	s a uu c a i t a
सूचियाँ	s a uu c a i y a aa mq
सूचियों	s a uu c a i y a o q
सूची	s a uu c a ii
सूचीकारों	s a uu c a ii k a aa r a o q
सूचीयों	s a uu c a ii y a o q
सूज	s a uu j a
सूज़न	s a uu z a n a
सूजा	s a uu j a aa
सूझबूझ	s a uu jh a b a uu jh a
सूझा	s a uu jh a aa
सूट	s a uu tx a
सूती	s a uu t a ii
सूत्र	s a uu t a r a
सूत्रधार	s a uu t a r a dh a aa r a
सूत्रात्मक	s a uu t a r a aa t a m a k a
सूत्रों	s a uu t a r a o q
सूद	s a uu d a
सूदख़ोर	s a uu d a khq a o r a
सूदखोर	s a uu d a kh a o r a
सूना	s a uu n a aa
सूनी	s a uu n a ii
सून्य	s a uu n a y a
सूप	s a uu p a
सूफ़िया	s a uu f a i y a aa
सूफ़ियाना	s a uu f a i y a aa n a aa
सूफ़ियों	s a uu f a i y a o q
सूफ़ी	s a uu f a ii
सूफ़ीमत	s a uu f a ii m a t a
सूबेदार	s a uu b a ee d a aa r a
सूर	s a uu r a
सूरज	s a uu r a j a
सूरजभान	s a uu r a j a bh a aa n a
सूरत	s a uu r a t a
सूरीनाम	s a uu r a ii n a aa m a
सूर्य	s a uu r a y a
सूर्यकान्त	s a uu r a y a k a aa n a t a
सूर्यवंशी	s a uu r a y a w a q sh a ii
सूर्योदय	s a uu r a y a o d a y a
सूली	s a uu l a ii
सूसन	s a uu s a n a
सूसे	s a uu s a ee
सृजन	s a rq j a n a
सृजना	s a rq j a n a aa
सृजनात्मक	s a rq j a n a aa t a m a k a
सृजित	s a rq j a i t a
सृष्टि	s a rq sx a tx a i
सॅंचुरी	s a q c a u r a ii
सॅर	s a r a
से	s a ee
सेंट	s a ee q tx a
सेंटर	s a ee q tx a r a
सेंटीमीटर	s a ee q tx a ii m a ii tx a r a
सेंट्रल	s a ee q tx a r a l a
सेंध	s a ee q dh a
सेंसिंग	s a ee q s a i q g a
सेंसेक्स	s a ee q s a ee k a s a
सेकंड	s a ee k a q dx a
सेकेंड्री	s a ee k a ee q dx a r a ii
सेक्टर	s a ee k a tx a r a
सेट	s a ee tx a
सेठ	s a ee txh a
सेतु	s a ee t a u
सेन	s a ee n a
सेना	s a ee n a aa
सेनापति	s a ee n a aa p a t a i
सेन्य	s a ee n a y a
सेब	s a ee b a
सेमिनार	s a ee m a i n a aa r a
सेमी	s a ee m a ii
सेमीफाइनल	s a ee m a ii ph a aa i n a l a
सेर	s a ee r a
सेल	s a ee l a
सेलेक्शन	s a ee l a ee k a sh a n a
सेलों	s a ee l a o q
सेल्तियम	s a ee l a t a i y a m a
सेल्स	s a ee l a s a
सेल्सियस	s a ee l a s a i y a s a
सेवक	s a ee w a k a
सेवकमामा	s a ee w a k a m a aa m a aa
सेवन	s a ee w a n a
सेवा	s a ee w a aa
सेवाऍं	s a ee w a aa q
सेवाऍंः	s a ee w a aa q hq
सेवाएं	s a ee w a aa ee q
सेवाओं	s a ee w a aa o q
सेवानिवृत	s a ee w a aa n a i w a rq t a
सेवासत्कार	s a ee w a aa s a t a k a aa r a
सेविंग	s a ee w a i q g a
सेस	s a ee s a
सेहत	s a ee h a t a
सैंटर	s a ei q tx a r a
सैंतालीस	s a ei q t a aa l a ii s a
सैकंड	s a ei k a q dx a
सैकड़ों	s a ei k a dxq a o q
सैकेंड	s a ei k a ee q dx a
सैकेण्ड	s a ei k a ee nx a dx a
सैट	s a ei tx a
सैटल	s a ei tx a l a
सैण्ड	s a ei nx a dx a
सैतामा	s a ei t a aa m a aa
सैद्घांतिक	s a ei d a gh a aa q t a i k a
सैद्धांतिक	s a ei d a dh a aa q t a i k a
सैनिक	s a ei n a i k a
सैनिकों	s a ei n a i k a o q
सैम्युएल	s a ei m a y a u ee l a
सैर	s a ei r a
सैल	s a ei l a
सैलाब	s a ei l a aa b a
सैल्यूट	s a ei l a y a uu tx a
सॉकिट	s a k a i tx a
सॉफ्टवेयर	s a ph a tx a w a ee y a r a
सॉफ्टा	s a ph a tx a aa
सॉब	s a b a
सॉरी	s a r a ii
सो	s a o
सोंटाग	s a o q tx a aa g a
सोउँगी	s a o u mq g a ii
सोख	s a o kh a
सोखते	s a o kh a t a ee
सोच	s a o c a
सोचकर	s a o c a k a r a
सोचता	s a o c a t a aa
सोचती	s a o c a t a ii
सोचते	s a o c a t a ee
सोचतेसोचते	s a o c a t a ee s a o c a t a ee
सोचना	s a o c a n a aa
सोचने	s a o c a n a ee
सोचविचार	s a o c a w a i c a aa r a
सोचसमझकर	s a o c a s a m a jh a k a r a
सोचा	s a o c a aa
सोचायह	s a o c a aa y a h a
सोचिए	s a o c a i ee
सोचेंगे	s a o c a ee q g a ee
सोचेगा	s a o c a ee g a aa
सोटी	s a o tx a ii
सोडा	s a o dx a aa
सोडियम	s a o dx a i y a m a
सोता	s a o t a aa
सोती	s a o t a ii
सोते	s a o t a ee
सोनकर	s a o n a k a r a
सोनपेठ	s a o n a p a ee txh a
सोनम	s a o n a m a
सोना	s a o n a aa
सोनाले	s a o n a aa l a ee
सोनाहातू	s a o n a aa h a aa t a uu
सोनिया	s a o n a i y a aa
सोने	s a o n a ee
सोपान	s a o p a aa n a
सोफ़िया	s a o f a i y a aa
सोफ़ी	s a o f a ii
सोफ़े	s a o f a ee
सोफा	s a o ph a aa
सोम	s a o m a
सोमन	s a o m a n a
सोमवार	s a o m a w a aa r a
सोमा	s a o m a aa
सोया	s a o y a aa
सोये	s a o y a ee
सोरेन	s a o r a ee n a
सोलह	s a o l a h a
सोवियत	s a o w a i y a t a
सोशल	s a o sh a l a
सोसाइटी	s a o s a aa i tx a ii
सोसायटियों	s a o s a aa y a tx a i y a o q
सोसायटी	s a o s a aa y a tx a ii
सोहन	s a o h a n a
सौ	s a ou
सौंदर्य	s a ou q d a r a y a
सौंप	s a ou q p a
सौंपा	s a ou q p a aa
सौंपी	s a ou q p a ii
सौडेढ़	s a ou dx a ee dxhq a
सौत्रिक	s a ou t a r a i k a
सौदा	s a ou d a aa
सौदे	s a ou d a ee
सौदेबाजी	s a ou d a ee b a aa j a ii
सौदों	s a ou d a o q
सौनो	s a ou n a o
सौन्दर्य	s a ou n a d a r a y a
सौभाग्य	s a ou bh a aa g a y a
सौभाग्यवती	s a ou bh a aa g a y a w a t a ii
सौम्यदीप	s a ou m a y a d a ii p a
सौर	s a ou r a
सौरव	s a ou r a w a
सौसौ	s a ou s a ou
सौहार्द	s a ou h a aa r a d a
स्कटलिङ	s a k a tx a l a i ng a
स्कान्दिनेविया	s a k a aa n a d a i n a ee w a i y a aa
स्कालरशिप	s a k a aa l a r a sh a i p a
स्कीजोफ्रेनिया	s a k a ii j a o ph a r a ee n a i y a aa
स्कीम	s a k a ii m a
स्कूटर	s a k a uu tx a r a
स्कूल	s a k a uu l a
स्कूलकॉलेज	s a k a uu l a k a l a ee j a
स्कूली	s a k a uu l a ii
स्कूलों	s a k a uu l a o q
स्केच	s a k a ee c a
स्केल	s a k a ee l a
स्कैच	s a k a ei c a
स्कॉट	s a k a tx a
स्कोर	s a k a o r a
स्कोरर	s a k a o r a r a
स्क्रीनिंग	s a k a r a ii n a i q g a
स्क्विड	s a k a w a i dx a
स्टडीज	s a tx a dx a ii j a
स्टाइरिस	s a tx a aa i r a i s a
स्टाइल	s a tx a aa i l a
स्टाफ	s a tx a aa ph a
स्टायरिस	s a tx a aa y a r a i s a
स्टार	s a tx a aa r a
स्टिंग	s a tx a i q g a
स्टील	s a tx a ii l a
स्टूल	s a tx a uu l a
स्टेज	s a tx a ee j a
स्टेट	s a tx a ee tx a
स्टेटमेंट	s a tx a ee tx a m a ee q tx a
स्टेडियम	s a tx a ee dx a i y a m a
स्टेयरिंग	s a tx a ee y a r a i q g a
स्टेशन	s a tx a ee sh a n a
स्टैंड	s a tx a ei q dx a
स्टैंडअप	s a tx a ei q dx a a p a
स्टैंडपाइंट	s a tx a ei q dx a p a aa i q tx a
स्टैंडर्ड	s a tx a ei q dx a r a dx a
स्टैब्लिश	s a tx a ei b a l a i sh a
स्टॉक	s a tx a k a
स्टॉल	s a tx a l a
स्टोन	s a tx a o n a
स्टोर	s a tx a o r a
स्टोरी	s a tx a o r a ii
स्टोव	s a tx a o w a
स्ट्रक्च्रलिज़्म	s a tx a r a k a c a r a l a i z a m a
स्ट्राइक	s a tx a r a aa i k a
स्ट्राबैरीज़	s a tx a r a aa b a ei r a ii z a
स्ट्रिप	s a tx a r a i p a
स्ट्रीट	s a tx a r a ii tx a
स्ट्रेचर	s a tx a r a ee c a r a
स्तंभ	s a t a q bh a
स्तनपान	s a t a n a p a aa n a
स्तब्ध	s a t a b a dh a
स्तब्धता	s a t a b a dh a t a aa
स्तम्भ	s a t a m a bh a
स्तम्भित	s a t a m a bh a i t a
स्तम्भों	s a t a m a bh a o q
स्तर	s a t a r a
स्तरीय	s a t a r a ii y a
स्तुति	s a t a u t a i
स्त्रियाँ	s a t a r a i y a aa mq
स्त्रियां	s a t a r a i y a aa q
स्त्रियों	s a t a r a i y a o q
स्त्री	s a t a r a ii
स्त्रीपुरुष	s a t a r a ii p a u r a u sx a
स्त्रीलिंग	s a t a r a ii l a i q g a
स्त्रोत	s a t a r a o t a
स्थल	s a th a l a
स्थलीं	s a th a l a ii q
स्थविर	s a th a w a i r a
स्थान	s a th a aa n a
स्थानीय	s a th a aa n a ii y a
स्थानों	s a th a aa n a o q
स्थाऩ	s a th a aa
स्थापत्य	s a th a aa p a t a y a
स्थापना	s a th a aa p a n a aa
स्थापित	s a th a aa p a i t a
स्थायी	s a th a aa y a ii
स्थित	s a th a i t a
स्थितप्रज्ञ	s a th a i t a p a r a j a nj a
स्थितप्रज्ञता	s a th a i t a p a r a j a nj a t a aa
स्थिति	s a th a i t a i
स्थितियाँ	s a th a i t a i y a aa mq
स्थितियों	s a th a i t a i y a o q
स्थूल	s a th a uu l a
स्नातक	s a n a aa t a k a
स्नातकोत्तर	s a n a aa t a k a o t a t a r a
स्नानघर	s a n a aa n a gh a r a
स्निग्ध	s a n a i g a dh a
स्नेह	s a n a ee h a
स्नेहबाहुल्य	s a n a ee h a b a aa h a u l a y a
स्नैक्स	s a n a ei k a s a
स्नैपडील	s a n a ei p a dx a ii l a
स्पर्धा	s a p a r a dh a aa
स्पर्धाओं	s a p a r a dh a aa o q
स्पर्श	s a p a r a sh a
स्पर्शी	s a p a r a sh a ii
स्पष्ट	s a p a sx a tx a
स्पष्टतः	s a p a sx a tx a t a hq
स्पष्टवादी	s a p a sx a tx a w a aa d a ii
स्पष्टीकरण	s a p a sx a tx a ii k a r a nx a
स्पिनर	s a p a i n a r a
स्पिनरों	s a p a i n a r a o q
स्पॅनिश	s a p a n a i sh a
स्पेक्ट्रा	s a p a ee k a tx a r a aa
स्पेन	s a p a ee n a
स्पेल	s a p a ee l a
स्पेस	s a p a ee s a
स्पोट्रस	s a p a o tx a r a s a
स्प्रिंग	s a p a r a i q g a
स्फटिकमय	s a ph a tx a i k a m a y a
स्फीतवक्ष	s a ph a ii t a w a k a sx a
स्फूर्त	s a ph a uu r a t a
स्मरण	s a m a r a nx a
स्मारक	s a m a aa r a k a
स्मार्ट	s a m a aa r a tx a
स्मिथ	s a m a i th a
स्मृति	s a m a rq t a i
स्मृतियाँ	s a m a rq t a i y a aa mq
स्मृतियां	s a m a rq t a i y a aa q
स्मृतियों	s a m a rq t a i y a o q
स्यदरग्रान	s a y a d a r a g a r a aa n a
स्याहपन	s a y a aa h a p a n a
स्याहियों	s a y a aa h a i y a o q
स्याही	s a y a aa h a ii
स्रेदन्याया	s a r a ee d a n a y a aa y a aa
स्रोत	s a r a o t a
स्लग	s a l a g a
स्लेट	s a l a ee tx a
स्लैक्स	s a l a ei k a s a
स्वचालित	s a w a c a aa l a i t a
स्वच्छ	s a w a c a ch a
स्वछंद	s a w a ch a q d a
स्वतंत्र	s a w a t a q t a r a
स्वतंत्रता	s a w a t a q t a r a t a aa
स्वतंत्रतासंग्राम	s a w a t a q t a r a t a aa s a q g a r a aa m a
स्वतः	s a w a t a hq
स्वतन्त्र	s a w a t a n a t a r a
स्वतन्त्रता	s a w a t a n a t a r a t a aa
स्वदेशी	s a w a d a ee sh a ii
स्वपाठक	s a w a p a aa txh a k a
स्वप्न	s a w a p a n a
स्वप्नदर्शी	s a w a p a n a d a r a sh a ii
स्वभाव	s a w a bh a aa w a
स्वभावतः	s a w a bh a aa w a t a hq
स्वयं	s a w a y a q
स्वयंमेव	s a w a y a q m a ee w a
स्वयंसेवक	s a w a y a q s a ee w a k a
स्वयंसेवकों	s a w a y a q s a ee w a k a o q
स्वर	s a w a r a
स्वरतालबद्ध	s a w a r a t a aa l a b a d a dh a
स्वरुप	s a w a r a u p a
स्वरूप	s a w a r a uu p a
स्वर्ग	s a w a r a g a
स्वर्ण	s a w a r a nx a
स्वर्णपदक	s a w a r a nx a p a d a k a
स्वर्णऱ्युग	s a w a r a nx a y a u g a
स्वर्णसाँकलों	s a w a r a nx a s a aa mq k a l a o q
स्वल्प	s a w a l a p a
स्वस्थ	s a w a s a th a
स्वाँगनक्ल	s a w a aa mq g a n a k a l a
स्वांसी	s a w a aa q s a ii
स्वागत	s a w a aa g a t a
स्वागताध्यक्षीय	s a w a aa g a t a aa dh a y a k a sx a ii y a
स्वातंत्र्य	s a w a aa t a q t a r a y a
स्वाति	s a w a aa t a i
स्वाद	s a w a aa d a
स्वादिष्ट	s a w a aa d a i sx a tx a
स्वाधिष्ठान	s a w a aa dh a i sx a txh a aa n a
स्वाभाव	s a w a aa bh a aa w a
स्वाभाविक	s a w a aa bh a aa w a i k a
स्वामित्व	s a w a aa m a i t a w a
स्वामित्वदो	s a w a aa m a i t a w a d a o
स्वामी	s a w a aa m a ii
स्वामीजी	s a w a aa m a ii j a ii
स्वायत्तता	s a w a aa y a t a t a t a aa
स्वार्थ	s a w a aa r a th a
स्वार्थियों	s a w a aa r a th a i y a o q
स्वार्थी	s a w a aa r a th a ii
स्वावलम्बी	s a w a aa w a l a m a b a ii
स्वास्थ्य	s a w a aa s a th a y a
स्वाहा	s a w a aa h a aa
स्विच	s a w a i c a
स्विचर	s a w a i c a r a
स्विटजरलैंड	s a w a i tx a j a r a l a ei q dx a
स्विट्जर	s a w a i tx a j a r a
स्विट्ज़रलैंड	s a w a i tx a z a r a l a ei q dx a
स्विस	s a w a i s a
स्वीकार	s a w a ii k a aa r a
स्वीकारता	s a w a ii k a aa r a t a aa
स्वीकारने	s a w a ii k a aa r a n a ee
स्वीकारोक्ति	s a w a ii k a aa r a o k a t a i
स्वीकार्य	s a w a ii k a aa r a y a
स्वीकृत	s a w a ii k a rq t a
स्वीकृति	s a w a ii k a rq t a i
स्वीट्स	s a w a ii tx a s a
स्वीड	s a w a ii dx a
स्वीडन	s a w a ii dx a n a
स्वीडिश	s a w a ii dx a i sh a
स्वीडी	s a w a ii dx a ii
स्वेच्छा	s a w a ee c a ch a aa
स्वेज़	s a w a ee z a
स्वेटर	s a w a ee tx a r a
हँस	h a mq s a
हँसकर	h a mq s a k a r a
हँसता	h a mq s a t a aa
हँसते	h a mq s a t a ee
हँसतेहँसते	h a mq s a t a ee h a mq s a t a ee
