<HI> अँग	a mq g a
<MR> प्रशिक्षकाने	p a r a sh a i k a sx a k a aa n a ee
<MR> प्रशिक्षण	p a r a sh a i k a sx a nx a
<MR> प्रशिक्षणाच्या	p a r a sh a i k a sx a nx a aa c a y a aa
<MR> प्रशिक्षित	p a r a sh a i k a sx a i t a
<MR> प्रश्	p a r a sh a
<MR> प्रश्न	p a r a sh a n a
<MR> प्रश्नांचा	p a r a sh a n a aa q c a aa
<MR> प्रश्नांची	p a r a sh a n a aa q c a ii
<MR> प्रश्नांना	p a r a sh a n a aa q n a aa
<MR> प्रश्नाचं	p a r a sh a n a aa c a q
<MR> प्रश्नाचा	p a r a sh a n a aa c a aa
<MR> प्रश्नाचे	p a r a sh a n a aa c a ee
<MR> प्रश्नाला	p a r a sh a n a aa l a aa
<MR> प्रश्नावर	p a r a sh a n a aa w a r a
<MR> प्रश्नासंबंधी	p a r a sh a n a aa s a q b a q dh a ii
<MR> प्रश्नासरशी	p a r a sh a n a aa s a r a sh a ii
<MR> प्रश्र्न	p a r a sh a r a n a
<MR> प्रश्र्नांची	p a r a sh a r a n a aa q c a ii
<MR> प्रश्र्नाला	p a r a sh a r a n a aa l a aa
<MR> प्रसंग	p a r a s a q g a
<MR> प्रसंगाची	p a r a s a q g a aa c a ii
<MR> प्रसंगात	p a r a s a q g a aa t a
<MR> प्रसंगी	p a r a s a q g a ii
<MR> प्रसन्न	p a r a s a n a n a
<MR> प्रसाद	p a r a s a aa d a
<MR> प्रसार	p a r a s a aa r a
<MR> प्रसारित	p a r a s a aa r a i t a
<MR> प्रसिद्ध	p a r a s a i d a dh a
<MR> प्रसिद्धही	p a r a s a i d a dh a h a ii
<MR> प्रसिद्धी	p a r a s a i d a dh a ii
<MR> प्रसिद्धीच्या	p a r a s a i d a dh a ii c a y a aa
<MR> प्रसिद्धीला	p a r a s a i d a dh a ii l a aa
<MR> प्रसिद्धीसाठी	p a r a s a i d a dh a ii s a aa txh a ii
<MR> प्रस्ताव	p a r a s a t a aa w a
<MR> प्रस्तावित	p a r a s a t a aa w a i t a
<MR> प्रस्तुत	p a r a s a t a u t a
<MR> प्रस्थ	p a r a s a th a
<MR> प्रस्थापित	p a r a s a th a aa p a i t a
<MR> प्रस्थापितांचे	p a r a s a th a aa p a i t a aa q c a ee
<MR> प्रस्न	p a r a s a n a
<MR> प्रहरी	p a r a h a r a ii
<MR> प्रहार	p a r a h a aa r a
<MR> प्रांगणात	p a r a aa q g a nx a aa t a
<MR> प्रांत	p a r a aa q t a
<MR> प्रांतभाग	p a r a aa q t a bh a aa g a
<MR> प्रांतरचनेच	p a r a aa q t a r a c a n a ee c a
<MR> प्रांतांतील	p a r a aa q t a aa q t a ii l a
<MR> प्रांताची	p a r a aa q t a aa c a ii
<MR> प्रांतात	p a r a aa q t a aa t a
<MR> प्रांतातून	p a r a aa q t a aa t a uu n a
<MR> प्रांतिक	p a r a aa q t a i k a
<MR> प्रांतीय	p a r a aa q t a ii y a
<MR> प्राकृत	p a r a aa k a rq t a
<MR> प्राकृतिक	p a r a aa k a rq t a i k a
<MR> प्राचार्य	p a r a aa c a aa r a y a
<MR> प्राचीन	p a r a aa c a ii n a
<MR> प्राचीनत्व	p a r a aa c a ii n a t a w a
<MR> प्राण	p a r a aa nx a
<MR> प्राणघातक	p a r a aa nx a gh a aa t a k a
<MR> प्राणवायू	p a r a aa nx a w a aa y a uu
<MR> प्राणी	p a r a aa nx a ii
<MR> प्राणीसंग्रहालयाच्या	p a r a aa nx a ii s a q g a r a h a aa l a y a aa c a y a aa
<MR> प्राण्यांचा	p a r a aa nx a y a aa q c a aa
<MR> प्राण्यांची	p a r a aa nx a y a aa q c a ii
<MR> प्राण्यांप्रमाणेच	p a r a aa nx a y a aa q p a r a m a aa nx a ee c a
<MR> प्राण्यांमध्ये	p a r a aa nx a y a aa q m a dh a y a ee
<MR> प्रातःकालीच	p a r a aa t a hq k a aa l a ii c a
<MR> प्रातिनिधिक	p a r a aa t a i n a i dh a i k a
<MR> प्रात्यक्षिके	p a r a aa t a y a k a sx a i k a ee
<MR> प्राथमिक	p a r a aa th a m a i k a
<MR> प्रादेशिक	p a r a aa d a ee sh a i k a
<MR> प्रादेशिकतेची	p a r a aa d a ee sh a i k a t a ee c a ii
<MR> प्रादेशिकतेचे	p a r a aa d a ee sh a i k a t a ee c a ee
<MR> प्राध्यापक	p a r a aa dh a y a aa p a k a
<MR> प्राध्यापकच	p a r a aa dh a y a aa p a k a c a
<MR> प्राध्यापकांच्या	p a r a aa dh a y a aa p a k a aa q c a y a aa
<MR> प्राप्त	p a r a aa p a t a
<MR> प्राप्ती	p a r a aa p a t a ii
<MR> प्राबल्य	p a r a aa b a l a y a
<MR> प्रामाणिक	p a r a aa m a aa nx a i k a
<MR> प्रामाणिकपणे	p a r a aa m a aa nx a i k a p a nx a ee
<MR> प्रामुख्याने	p a r a aa m a u kh a y a aa n a ee
<MR> प्रारंभ	p a r a aa r a q bh a
<MR> प्रारंभी	p a r a aa r a q bh a ii
<MR> प्रारंभीचे	p a r a aa r a q bh a ii c a ee
<MR> प्रारूप	p a r a aa r a uu p a
<MR> प्रार्थना	p a r a aa r a th a n a aa
<MR> प्रार्थीत	p a r a aa r a th a ii t a
<MR> प्रावीण्य	p a r a aa w a ii nx a y a
<MR> प्राशन	p a r a aa sh a n a
<MR> प्रास्ताविक	p a r a aa s a t a aa w a i k a
<MR> प्रि	p a r a i
<MR> प्रिय	p a r a i y a
<MR> प्रियकर	p a r a i y a k a r a
<MR> प्रियतमा	p a r a i y a t a m a aa
<MR> प्रियतमेला	p a r a i y a t a m a ee l a aa
<MR> प्रियांका	p a r a i y a aa q k a aa
<MR> प्रेक्षक	p a r a ee k a sx a k a
<MR> प्रेक्षकच	p a r a ee k a sx a k a c a
<MR> प्रेक्षकही	p a r a ee k a sx a k a h a ii
<MR> प्रेक्षकांची	p a r a ee k a sx a k a aa q c a ii
<MR> प्रेक्षकांच्या	p a r a ee k a sx a k a aa q c a y a aa
<MR> प्रेक्षकांनी	p a r a ee k a sx a k a aa q n a ii
<MR> प्रेक्षणीय	p a r a ee k a sx a nx a ii y a
<MR> प्रेक्षागृह	p a r a ee k a sx a aa g a rq h a
<MR> प्रेत	p a r a ee t a
<MR> प्रेतकळा	p a r a ee t a k a lx a aa
<MR> प्रेतांत	p a r a ee t a aa q t a
<MR> प्रेताच्या	p a r a ee t a aa c a y a aa
<MR> प्रेम	p a r a ee m a
<MR> प्रेमकविता	p a r a ee m a k a w a i t a aa
<MR> प्रेमकवितांतून	p a r a ee m a k a w a i t a aa q t a uu n a
<MR> प्रेमकवितेत	p a r a ee m a k a w a i t a ee t a
<MR> प्रेमजींशी	p a r a ee m a j a ii q sh a ii
<MR> प्रेमपाशात	p a r a ee m a p a aa sh a aa t a
<MR> प्रेमपूर्वक	p a r a ee m a p a uu r a w a k a
<MR> प्रेमभंगाची	p a r a ee m a bh a q g a aa c a ii
<MR> प्रेमभाव	p a r a ee m a bh a aa w a
<MR> प्रेमळ	p a r a ee m a lx a
<MR> प्रेमविवाह	p a r a ee m a w a i w a aa h a
<MR> प्रेमा	p a r a ee m a aa
<MR> प्रेमाचं	p a r a ee m a aa c a q
<MR> प्रेमाचा	p a r a ee m a aa c a aa
<MR> प्रेमाची	p a r a ee m a aa c a ii
<MR> प्रेमाचे	p a r a ee m a aa c a ee
<MR> प्रेमात	p a r a ee m a aa t a
<MR> प्रेमातून	p a r a ee m a aa t a uu n a
<MR> प्रेमादरपूर्वक	p a r a ee m a aa d a r a p a uu r a w a k a
<MR> प्रेमानं	p a r a ee m a aa n a q
<MR> प्रेमाने	p a r a ee m a aa n a ee
<MR> प्रेमाला	p a r a ee m a aa l a aa
<MR> प्रेमिकांना	p a r a ee m a i k a aa q n a aa
<MR> प्रेमी	p a r a ee m a ii
<MR> प्रेयसीच्या	p a r a ee y a s a ii c a y a aa
<MR> प्रेयसीशी	p a r a ee y a s a ii sh a ii
<MR> प्रेरणा	p a r a ee r a nx a aa
<MR> प्रेरित	p a r a ee r a i t a
<MR> प्रॉब्लेम	p a r a b a l a ee m a
<MR> प्रोत्साहन	p a r a o t a s a aa h a n a
<MR> प्रोफेशनल	p a r a o ph a ee sh a n a l a
<MR> प्लास्टिक	p a l a aa s a tx a i k a
<MR> प्लास्टिकची	p a l a aa s a tx a i k a c a ii
<MR> प्लास्टिकच्या	p a l a aa s a tx a i k a c a y a aa
<MR> प्लॅटफॉर्मबाहेर	p a l a tx a ph a r a m a b a aa h a ee r a
<MR> प्लॅटफॉर्मवर	p a l a tx a ph a r a m a w a r a
<MR> प्लॅटफॉर्मवरून	p a l a tx a ph a r a m a w a r a uu n a
<MR> प्लेट	p a l a ee tx a
<MR> प्लेटमध्ये	p a l a ee tx a m a dh a y a ee
<MR> प्लेटस	p a l a ee tx a s a
<MR> प्लेटोच्या	p a l a ee tx a o c a y a aa
<MR> प्लॉटचे	p a l a tx a c a ee
<MR> प्लॉटमध्ये	p a l a tx a m a dh a y a ee
<MR> फंद्यात	ph a q d a y a aa t a
<MR> फकिराचं	ph a k a i r a aa c a q
<MR> फक्	ph a k a
<MR> फक्कड	ph a k a k a dx a
<MR> फक्त	ph a k a t a
<MR> फटका	ph a tx a k a aa
<MR> फटकारे	ph a tx a k a aa r a ee
<MR> फटकेबाजी	ph a tx a k a ee b a aa j a ii
<MR> फटकेबाजीने	ph a tx a k a ee b a aa j a ii n a ee
<MR> फटक्	ph a tx a k a
<MR> फटीतून	ph a tx a ii t a uu n a
<MR> फडकावून	ph a dx a k a aa w a uu n a
<MR> फडफडवत	ph a dx a ph a dx a w a t a
<MR> फडात	ph a dx a aa t a
<MR> फणकार्	ph a nx a k a aa r a
<MR> फणफणले	ph a nx a ph a nx a l a ee
<MR> फणा	ph a nx a aa
<MR> फणी	ph a nx a ii
<MR> फतवा	ph a t a w a aa
<MR> फरक	ph a r a k a
<MR> फरकच	ph a r a k a c a
<MR> फरकानं	ph a r a k a aa n a q
<MR> फरकाने	ph a r a k a aa n a ee
<MR> फरफटत	ph a r a ph a tx a t a
<MR> फरफरत	ph a r a ph a r a t a
<MR> फराळ	ph a r a aa lx a
<MR> फराळाचे	ph a r a aa lx a aa c a ee
<MR> फराळाच्या	ph a r a aa lx a aa c a y a aa
<MR> फर्निचर	ph a r a n a i c a r a
<MR> फर्ममध्ये	ph a r a m a m a dh a y a ee
<MR> फर्माविले	ph a r a m a aa w a i l a ee
<MR> फर्सन	ph a r a s a n a
<MR> फर्स्ट	ph a r a s a tx a
<MR> फर्स्टचा	ph a r a s a tx a c a aa
<MR> फलंदाज	ph a l a q d a aa j a
<MR> फलंदाजी	ph a l a q d a aa j a ii
<MR> फलक	ph a l a k a
<MR> फलकलेखन	ph a l a k a l a ee kh a n a
<MR> फलनक्रियेत	ph a l a n a k a r a i y a ee t a
<MR> फलाटदादा	ph a l a aa tx a d a aa d a aa
<MR> फलाटाच्या	ph a l a aa tx a aa c a y a aa
<MR> फलाटाला	ph a l a aa tx a aa l a aa
<MR> फलाटावर	ph a l a aa tx a aa w a r a
<MR> फलोत्पादन	ph a l a o t a p a aa d a n a
<MR> फलोत्पादनाचा	ph a l a o t a p a aa d a n a aa c a aa
<MR> फलोद्यान	ph a l a o d a y a aa n a
<MR> फळा	ph a lx a aa
<MR> फळांनी	ph a lx a aa q n a ii
<MR> फळाफुलांनी	ph a lx a aa ph a u l a aa q n a ii
<MR> फळी	ph a lx a ii
<MR> फळीने	ph a lx a ii n a ee
<MR> फळे	ph a lx a ee
<MR> फळ्यावर	ph a lx a y a aa w a r a
<MR> फवार्	ph a w a aa r a
<MR> फसले	ph a s a l a ee
<MR> फसलो	ph a s a l a o
<MR> फसवंही	ph a s a w a q h a ii
<MR> फसवणुकीचे	ph a s a w a nx a u k a ii c a ee
<MR> फसवणूक	ph a s a w a nx a uu k a
<MR> फसविले	ph a s a w a i l a ee
<MR> फसविलेस	ph a s a w a i l a ee s a
<MR> फसवेगिरी	ph a s a w a ee g a i r a ii
<MR> फस्त	ph a s a t a
<MR> फांदी	ph a aa q d a ii
<MR> फांदीवर	ph a aa q d a ii w a r a
<MR> फांद्या	ph a aa q d a y a aa
<MR> फांद्यांची	ph a aa q d a y a aa q c a ii
<MR> फांद्याच्या	ph a aa q d a y a aa c a y a aa
<MR> फांद्याही	ph a aa q d a y a aa h a ii
<MR> फाइल्स	ph a aa i l a s a
<MR> फाईल	ph a aa ii l a
<MR> फाईलमध्ये	ph a aa ii l a m a dh a y a ee
<MR> फाईलीची	ph a aa ii l a ii c a ii
<MR> फाईव्ह	ph a aa ii w a h a
<MR> फाकावा	ph a aa k a aa w a aa
<MR> फाटक	ph a aa tx a k a
<MR> फाटकाबाहेर	ph a aa tx a k a aa b a aa h a ee r a
<MR> फाटक्या	ph a aa tx a k a y a aa
<MR> फाटत	ph a aa tx a t a
<MR> फाटा	ph a aa tx a aa
<MR> फाटेस्तोवर	ph a aa tx a ee s a t a o w a r a
<MR> फाडून	ph a aa dx a uu n a
<MR> फातिमा	ph a aa t a i m a aa
<MR> फादर	ph a aa d a r a
<MR> फादरनं	ph a aa d a r a n a q
<MR> फाफटपसारा	ph a aa ph a tx a p a s a aa r a aa
<MR> फायदा	ph a aa y a d a aa
<MR> फायदे	ph a aa y a d a ee
<MR> फायदेही	ph a aa y a d a ee h a ii
<MR> फार	ph a aa r a
<MR> फारच	ph a aa r a c a
<MR> फारशा	ph a aa r a sh a aa
<MR> फारशी	ph a aa r a sh a ii
<MR> फारश्या	ph a aa r a sh a y a aa
<MR> फारसं	ph a aa r a s a q
<MR> फारसा	ph a aa r a s a aa
<MR> फारसे	ph a aa r a s a ee
<MR> फारूक	ph a aa r a uu k a
<MR> फालतू	ph a aa l a t a uu
<MR> फाशी	ph a aa sh a ii
<MR> फाशीची	ph a aa sh a ii c a ii
<MR> फास	ph a aa s a
<MR> फासल	ph a aa s a l a
<MR> फासे	ph a aa s a ee
<MR> फास्ट	ph a aa s a tx a
<MR> फिकीर	ph a i k a ii r a
<MR> फिक्के	ph a i k a k a ee
<MR> फिटल्याचा	ph a i tx a l a y a aa c a aa
<MR> फिटेपर्यंत	ph a i tx a ee p a r a y a q t a
<MR> फितीत	ph a i t a ii t a
<MR> फिर	ph a i r a
<MR> फिरकले	ph a i r a k a l a ee
<MR> फिरणार्	ph a i r a nx a aa r a
<MR> फिरणे	ph a i r a nx a ee
<MR> फिरत	ph a i r a t a
<MR> फिरतातत	ph a i r a t a aa t a t a
<MR> फिरताना	ph a i r a t a aa n a aa
<MR> फिरते	ph a i r a t a ee
<MR> फिरतो	ph a i r a t a o
<MR> फिरलं	ph a i r a l a q
<MR> फिरला	ph a i r a l a aa
<MR> फिरल्यावर	ph a i r a l a y a aa w a r a
<MR> फिरवण्यासाठी	ph a i r a w a nx a y a aa s a aa txh a ii
<MR> फिरवत	ph a i r a w a t a
<MR> फिरवता	ph a i r a w a t a aa
<MR> फिरवला	ph a i r a w a l a aa
<MR> फिरवली	ph a i r a w a l a ii
<MR> फिरवलेली	ph a i r a w a l a ee l a ii
<MR> फिरवायचं	ph a i r a w a aa y a c a q
<MR> फिरवायचे	ph a i r a w a aa y a c a ee
<MR> फिरविण्याची	ph a i r a w a i nx a y a aa c a ii
<MR> फिरविण्यातील	ph a i r a w a i nx a y a aa t a ii l a
<MR> फिरविल्याने	ph a i r a w a i l a y a aa n a ee
<MR> फिरवीत	ph a i r a w a ii t a
<MR> फिरवून	ph a i r a w a uu n a
<MR> फिरायचं	ph a i r a aa y a c a q
<MR> फिरायचा	ph a i r a aa y a c a aa
<MR> फिरायला	ph a i r a aa y a l a aa
<MR> फिरू	ph a i r a uu
<MR> फिरून	ph a i r a uu n a
<MR> फिरे	ph a i r a ee
<MR> फिलिंग	ph a i l a i q g a
<MR> फिल्म	ph a i l a m a
<MR> फिवून	ph a i w a uu n a
<MR> फी	ph a ii
<MR> फील	ph a ii l a
<MR> फील्ड	ph a ii l a dx a
<MR> फुंकत	ph a u q k a t a
<MR> फुंडकर	ph a u q dx a k a r a
<MR> फुकट	ph a u k a tx a
<MR> फुकटची	ph a u k a tx a c a ii
<MR> फुकाच्या	ph a u k a aa c a y a aa
<MR> फुगले	ph a u g a l a ee
<MR> फुगेवाला	ph a u g a ee w a aa l a aa
<MR> फुटकळ	ph a u tx a k a lx a
<MR> फुटणारसं	ph a u tx a nx a aa r a s a q
<MR> फुटण्याआतच	ph a u tx a nx a y a aa aa t a c a
<MR> फुटत	ph a u tx a t a
<MR> फुटबॉलमध्ये	ph a u tx a b a l a m a dh a y a ee
<MR> फुटबोर्डवर	ph a u tx a b a o r a dx a w a r a
<MR> फुटला	ph a u tx a l a aa
<MR> फुटली	ph a u tx a l a ii
<MR> फुटलेला	ph a u tx a l a ee l a aa
<MR> फुटव्यापासून	ph a u tx a w a y a aa p a aa s a uu n a
<MR> फुटायची	ph a u tx a aa y a c a ii
<MR> फुटावेत	ph a u tx a aa w a ee t a
<MR> फुटिरतावादी	ph a u tx a i r a t a aa w a aa d a ii
<MR> फुटून	ph a u tx a uu n a
<MR> फुठ	ph a u txh a
<MR> फुतेन्मातील	ph a u t a ee n a m a aa t a ii l a
<MR> फुत्कारणारा	ph a u t a k a aa r a nx a aa r a aa
<MR> फुनचोककडे	ph a u n a c a o k a k a dx a ee
<MR> फुनचोकच्या	ph a u n a c a o k a c a y a aa
<MR> फुफ्फुसं	ph a u ph a ph a u s a q
<MR> फुरसद	ph a u r a s a d a
<MR> फुल	ph a u l a
<MR> फुलं	ph a u l a q
<MR> फुलकी	ph a u l a k a ii
<MR> फुलझाडेसुद्धा	ph a u l a jh a aa dx a ee s a u d a dh a aa
<MR> फुलणंच	ph a u l a nx a q c a
<MR> फुलण्याची	ph a u l a nx a y a aa c a ii
<MR> फुलपात्र	ph a u l a p a aa t a r a
<MR> फुलपात्रात	ph a u l a p a aa t a r a aa t a
<MR> फुलमाळांनी	ph a u l a m a aa lx a aa q n a ii
<MR> फुलली	ph a u l a l a ii
<MR> फुललेल	ph a u l a l a ee l a
<MR> फुललेलं	ph a u l a l a ee l a q
<MR> फुलल्याचं	ph a u l a l a y a aa c a q
<MR> फुलांचा	ph a u l a aa q c a aa
<MR> फुलांची	ph a u l a aa q c a ii
<MR> फुलांच्या	ph a u l a aa q c a y a aa
<MR> फुलाची	ph a u l a aa c a ii
<MR> फुलापानांची	ph a u l a aa p a aa n a aa q c a ii
<MR> फुलावं	ph a u l a aa w a q
<MR> फुलून	ph a u l a uu n a
<MR> फुले	ph a u l a ee
<MR> फुलेललं	ph a u l a ee l a l a q
<MR> फूट	ph a uu tx a
<MR> फूटपट्टी	ph a uu tx a p a tx a tx a ii
<MR> फूटपट्टीसारखे	ph a uu tx a p a tx a tx a ii s a aa r a kh a ee
<MR> फूटभर	ph a uu tx a bh a r a
<MR> फूल	ph a uu l a
<MR> फॅक्	ph a k a
<MR> फॅक्टरी	ph a k a tx a r a ii
<MR> फॅक्टरीत	ph a k a tx a r a ii t a
<MR> फॅक्टरीतल्या	ph a k a tx a r a ii t a l a y a aa
<MR> फॅक्स	ph a k a s a
<MR> फॅन	ph a n a
<MR> फॅशनेबल	ph a sh a n a ee b a l a
<MR> फॅसिस्ट	ph a s a i s a tx a
<MR> फेकत	ph a ee k a t a
<MR> फेकलं	ph a ee k a l a q
<MR> फेकला	ph a ee k a l a aa
<MR> फेकली	ph a ee k a l a ii
<MR> फेकले	ph a ee k a l a ee
<MR> फेकलेल्या	ph a ee k a l a ee l a y a aa
<MR> फेकायची	ph a ee k a aa y a c a ii
<MR> फेकीत	ph a ee k a ii t a
<MR> फेकून	ph a ee k a uu n a
<MR> फेटाळला	ph a ee tx a aa lx a l a aa
<MR> फेटाळून	ph a ee tx a aa lx a uu n a
<MR> फेटाळूनच	ph a ee tx a aa lx a uu n a c a
<MR> फेडण्याची	ph a ee dx a nx a y a aa c a ii
<MR> फेडण्यासाठी	ph a ee dx a nx a y a aa s a aa txh a ii
<MR> फेडताना	ph a ee dx a t a aa n a aa
<MR> फेडरर	ph a ee dx a r a r a
<MR> फेरचौकशी	ph a ee r a c a ou k a sh a ii
<MR> फेरफार	ph a ee r a ph a aa r a
<MR> फेरले	ph a ee r a l a ee
<MR> फेरी	ph a ee r a ii
<MR> फेरीवाला	ph a ee r a ii w a aa l a aa
<MR> फेरीवाले	ph a ee r a ii w a aa l a ee
<MR> फेरीवाल्या	ph a ee r a ii w a aa l a y a aa
<MR> फेरीवाल्यांना	ph a ee r a ii w a aa l a y a aa q n a aa
<MR> फेरीसाठी	ph a ee r a ii s a aa txh a ii
<MR> फेर्	ph a ee r a
<MR> फेल	ph a ee l a
<MR> फेव्हरिट	ph a ee w a h a r a i tx a
<MR> फेसबुकवर	ph a ee s a b a u k a w a r a
<MR> फेसाळ	ph a ee s a aa lx a
<MR> फैजखान	ph a ei j a kh a aa n a
<MR> फैलावली	ph a ei l a aa w a l a ii
<MR> फॉर्ममध्ये	ph a r a m a m a dh a y a ee
<MR> फॉर्म्युल्यांवर	ph a r a m a y a u l a y a aa q w a r a
<MR> फॉल	ph a l a
<MR> फोटो	ph a o tx a o
<MR> फोटोग्राफर	ph a o tx a o g a r a aa ph a r a
<MR> फोटोग्राफरच्या	ph a o tx a o g a r a aa ph a r a c a y a aa
<MR> फोटोग्राफरही	ph a o tx a o g a r a aa ph a r a h a ii
<MR> फोटोग्राफिक	ph a o tx a o g a r a aa ph a i k a
<MR> फोटोसाठी	ph a o tx a o s a aa txh a ii
<MR> फोटोसुद्धा	ph a o tx a o s a u d a dh a aa
<MR> फोडणार	ph a o dx a nx a aa r a
<MR> फोडणारे	ph a o dx a nx a aa r a ee
<MR> फोडण्याचे	ph a o dx a nx a y a aa c a ee
<MR> फोडण्यासाठी	ph a o dx a nx a y a aa s a aa txh a ii
<MR> फोडतात	ph a o dx a t a aa t a
<MR> फोडली	ph a o dx a l a ii
<MR> फोडल्यावनी	ph a o dx a l a y a aa w a n a ii
<MR> फोडावा	ph a o dx a aa w a aa
<MR> फोडून	ph a o dx a uu n a
<MR> फोन	ph a o n a
<MR> फोनकडे	ph a o n a k a dx a ee
<MR> फोनवरचा	ph a o n a w a r a c a aa
<MR> फोनवरून	ph a o n a w a r a uu n a
<MR> फोल	ph a o l a
<MR> फौजदारी	ph a ou j a d a aa r a ii
<MR> फौजेत	ph a ou j a ee t a
<MR> फ्क्त	ph a k a t a
<MR> फ्रान्सच्या	ph a r a aa n a s a c a y a aa
<MR> फ्रीज	ph a r a ii j a
<MR> फ्रेंचमनबरोबर	ph a r a ee q c a m a n a b a r a o b a r a
<MR> फ्रेचं	ph a r a ee c a q
<MR> फ्रेद्रिकला	ph a r a ee d a r a i k a l a aa
<MR> फ्रेम	ph a r a ee m a
<MR> फ्रॉक	ph a r a k a
<MR> फ्लोअर्स	ph a l a o a r a s a
<MR> बँक	b a mq k a
<MR> बँका	b a mq k a aa
<MR> बँकांत	b a mq k a aa q t a
<MR> बँकेचं	b a mq k a ee c a q
<MR> बँकेची	b a mq k a ee c a ii
<MR> बँकेच्या	b a mq k a ee c a y a aa
<MR> बँकेत	b a mq k a ee t a
<MR> बँकेशी	b a mq k a ee sh a ii
<MR> बंगईत	b a q g a ii t a
<MR> बंगल्यांत	b a q g a l a y a aa q t a
<MR> बंगल्याचे	b a q g a l a y a aa c a ee
<MR> बंगल्याच्या	b a q g a l a y a aa c a y a aa
<MR> बंगालच्या	b a q g a aa l a c a y a aa
<MR> बंगालमध्ये	b a q g a aa l a m a dh a y a ee
<MR> बंगाली	b a q g a aa l a ii
<MR> बंटासिंग	b a q tx a aa s a i q g a
<MR> बंड	b a q dx a
<MR> बंडखोर	b a q dx a kh a o r a
<MR> बंडखोरी	b a q dx a kh a o r a ii
<MR> बंडाय	b a q dx a aa y a
<MR> बंडीत	b a q dx a ii t a
<MR> बंडू	b a q dx a uu
<MR> बंडूभैयांनी	b a q dx a uu bh a ei y a aa q n a ii
<MR> बंडूमामा	b a q dx a uu m a aa m a aa
<MR> बंडूमामांनी	b a q dx a uu m a aa m a aa q n a ii
<MR> बंड्या	b a q dx a y a aa
<MR> बंड्याचं	b a q dx a y a aa c a q
<MR> बंड्याचा	b a q dx a y a aa c a aa
<MR> बंड्याच्या	b a q dx a y a aa c a y a aa
<MR> बंड्यानं	b a q dx a y a aa n a q
<MR> बंड्याला	b a q dx a y a aa l a aa
<MR> बंद	b a q d a
<MR> बंदच	b a q d a c a
<MR> बंदर	b a q d a r a
<MR> बंदरातून	b a q d a r a aa t a uu n a
<MR> बंदिस्त	b a q d a i s a t a
<MR> बंदी	b a q d a ii
<MR> बंदुकांपेक्षा	b a q d a u k a aa q p a ee k a sx a aa
<MR> बंदुकीचा	b a q d a u k a ii c a aa
<MR> बंदुकीच्या	b a q d a u k a ii c a y a aa
<MR> बंदुकीतून	b a q d a u k a ii t a uu n a
<MR> बंदूक	b a q d a uu k a
<MR> बंदोबस्त	b a q d a o b a s a t a
<MR> बंधण्याचा	b a q dh a nx a y a aa c a aa
<MR> बंधन	b a q dh a n a
<MR> बंधनं	b a q dh a n a q
<MR> बंधनात	b a q dh a n a aa t a
<MR> बंधू	b a q dh a uu
<MR> बंधूनी	b a q dh a uu n a ii
<MR> बकाल	b a k a aa l a
<MR> बकुळ	b a k a u lx a
<MR> बक्क्ष	b a k a k a sx a
<MR> बक्षिसे	b a k a sx a i s a ee
<MR> बक्षीस	b a k a sx a ii s a
<MR> बखरीचे	b a kh a r a ii c a ee
<MR> बगिच्यात	b a g a i c a y a aa t a
<MR> बगीचा	b a g a ii c a aa
<MR> बगीचाचे	b a g a ii c a aa c a ee
<MR> बग्रोडिया	b a g a r a o dx a i y a aa
<MR> बघ	b a gh a
<MR> बघणे	b a gh a nx a ee
<MR> बघण्याचा	b a gh a nx a y a aa c a aa
<MR> बघण्यास	b a gh a nx a y a aa s a
<MR> बघण्यासाठी	b a gh a nx a y a aa s a aa txh a ii
<MR> बघण्यासारखे	b a gh a nx a y a aa s a aa r a kh a ee
<MR> बघत	b a gh a t a
<MR> बघता	b a gh a t a aa
<MR> बघतांना	b a gh a t a aa q n a aa
<MR> बघताच	b a gh a t a aa c a
<MR> बघताना	b a gh a t a aa n a aa
<MR> बघतील	b a gh a t a ii l a
<MR> बघतेस	b a gh a t a ee s a
<MR> बघा	b a gh a aa
<MR> बघाच	b a gh a aa c a
<MR> बघायचं	b a gh a aa y a c a q
<MR> बघायची	b a gh a aa y a c a ii
<MR> बघायचे	b a gh a aa y a c a ee
<MR> बघायला	b a gh a aa y a l a aa
<MR> बघायलाच	b a gh a aa y a l a aa c a
<MR> बघावं	b a gh a aa w a q
<MR> बघावयास	b a gh a aa w a y a aa s a
<MR> बघावसं	b a gh a aa w a s a q
<MR> बघितलं	b a gh a i t a l a q
<MR> बघितला	b a gh a i t a l a aa
<MR> बघितली	b a gh a i t a l a ii
<MR> बघितले	b a gh a i t a l a ee
<MR> बघितलेला	b a gh a i t a l a ee l a aa
<MR> बघितलेली	b a gh a i t a l a ee l a ii
<MR> बघितल्यावर	b a gh a i t a l a y a aa w a r a
<MR> बघितल्यासारखा	b a gh a i t a l a y a aa s a aa r a kh a aa
<MR> बघु	b a gh a u
<MR> बघू	b a gh a uu
<MR> बघूच	b a gh a uu c a
<MR> बघून	b a gh a uu n a
<MR> बघ्या	b a gh a y a aa
<MR> बघ्यांच्या	b a gh a y a aa q c a y a aa
<MR> बचत	b a c a t a
<MR> बचाव	b a c a aa w a
<MR> बचावपटूंनी	b a c a aa w a p a tx a uu q n a ii
<MR> बचावफळी	b a c a aa w a ph a lx a ii
<MR> बचावफळीस	b a c a aa w a ph a lx a ii s a
